Piloto;Escuderia;Temporada
1;1;2020
17;1;2020
24;2;2020
49;2;2020
2;3;2020
16;3;2020
3;4;2020
55;4;2020
4;6;2020
11;6;2020
20;10;2020
7;2;2020
19;11;2020
18;11;2020
12;9;2020
54;9;2020
18;8;2020
6;2;2020
10;5;2020
53;5;2020
1;1;2021
2;3;2021
3;10;2021
4;3;2021
5;5;2021
6;2;2021
7;2;2021
8;4;2021
10;7;2021
11;70;2021
12;9;2021
15;9;2021
16;4;2021
17;1;2021
19;11;2021
21;11;2021
24;7;2021
49;8;2021
50;5;2021
51;1;2021
1;1;2019
2;3;2019
3;10;2019
4;3;2019
5;5;2019
6;2;2019
7;2;2019
8;4;2019
10;7;2019
11;10;2019
12;9;2019
15;9;2019
16;4;2019
17;1;2019
19;11;2019
21;11;2019
24;7;2019
49;8;2019
50;5;2019
51;1;2019
1;1;2018
5;1;2018
17;1;2018
14;2;2018
6;2;2018
49;2;2018
16;3;2018
12;3;2018
2;3;2018
4;25;2018
10;25;2018
11;25;2018
20;5;2018
5;5;2018
7;6;2018
12;7;2018
21;7;2018
23;11;2018
19;11;2018
38;4;2018
8;4;2018
7;4;2018
28;4;2018
29;12;2018
49;12;2018
24;12;2018
