Nombre ;Apellido;Pais;Red_soc;Fecha_nac;Esc;Estado ;Puntos;TorneosGan
Lewis;Hamilton;Reino Unido;@lewishamilton;1985-07-01;1;1;27;7
Max;Verstappen;Paises Bajos;@maxverstappen;1997-09-30;3;1;136;3
Fernando;Alonso;España;@fernandoalo;1981-07-29;7;1;33;2
Sergio;Perez;Mexico;@schecoperez;1990-01-26;3;1;103;0
George;Russell;Reino Unido;@georgerussell63;1998-02-15;1;1;37;0
Charles;Leclerc;Monaco;@charles_leclerc;1997-10-16;2;1;98;0
Carlos;Sainz;España;@carlossainz55;1994-09-01;2;1;83;0
Lando;Norris;Reino Unido;@landonorris;1999-11-13;4;1;83;0
Oscar;Piastri;Australia ;-;2001-06-04;4;1;41;0
Lance;Strol;Canada;@lance_stroll;1998-10-29;7;1;9;0
Esteban;Ocon;Francia;@estebanocon;1996-09-17;10;1;1;0
Pierre;Gasly;Francia;@pierregasly;1996-02-07;10;1;0;0
Alexander;Albon;Tailandia;@alex_albon;1996-07-03;5;1;0;0
Logan;Sargeant;Estados Unidos ;@logansargeant;2000-12-31;5;1;0;0
Yuki;Tsunoda;Japon;@yukitsunoda07;2000-11-05;9;1;14;0
Daniel;Ricciardo;Australia ;@danielricciardo;1989-07-01;9;1;5;0
Valtteri;Bottas;Finlandia;@valtteribottas;1989-08-28;12;1;0;0
Guanyu;Zhou;China;@gyzhou_33;1999-05-30;12;1;0;0
Kevin;Magnussen;Dinamarca;@kevinmagnussen;1992-10-05;11;1;1;0
Niko;Hulkenberg;Alemania ;@hulkhulkenberg;1987-08-19;11;1;6;0
Michael;Schumacher;Alemania;-;1969-03-01;1;0;0;7
Juan Manuel;Fangio;Argentina ;-;1911-06-24;2;0;0;5
Alain;Prost;Francia;@prost_official;1955-02-24;6;0;0;4
Sebastian;Vettel;Alemania ;@vettelofficial;1987-07-03;7;0;0;4
Jack; Brabham;Australia ;-;1926-02-04;11;0;0;3
Jackie;Stewart;Reino Unido;@sirjackiestewart;1939-06-11;11;0;0;3
Niki;Lauda;Austria;-;1949-02-22;2;0;0;3
Nelson;Piquet;Brasil;-;1952-08-17;8;0;0;3
Ayrton;Senna;Brasil;-;1960-03-21;4;0;0;3
Alberto;Ascari;Italia;-;1918-07-13;2;0;0;2
Graham;Hill;Reino Unido;-;1929-02-15;5;0;0;2
Jim;Clark;Reino Unido;-;1936-04-03;5;0;0;2
Emerson;Fittipaldi;Brasil;-;1946-12-12;4;0;0;2
Mika;Hakkinen;Finlandia;@mikahakkinen;1968-09-28;4;0;0;2
Giuseppe;Farina;Italia;-;1906-10-30;8;0;0;1
Mike;Hawthorn;Reino Unido;-;1929-10-04;2;0;0;1
Phil;Hill;Reino Unido;-;1927-04-20;2;0;0;1
John; Surtees;Reino Unido;-;1934-02-11;2;0;0;1
Denny;Hulme;Australia ;-;1936-06-18;4;0;0;1
Jochen;Rindt;Austria;-;1942-04-18;5;0;0;1
James; Hunt;Reino Unido;-;1947-08-29;4;0;0;1
Mario; Andretti;Estados Unidos ;-;1940-02-28;5;0;0;1
Jody;Scheckter;Sudafrica;-;1950-01-29;2;0;0;1
Alan;Jones;Australia ;-;1946-11-02;5;0;0;1
Keke; Rosberg;Finlandia;-;1948-06-12;5;0;0;1
Nigel; Mansell;Reino Unido;@nigelmansell;1953-08-08;5;0;0;1
Damon;Hill;Reino Unido;-;1960-09-17;5;0;0;1
Jacques;Villeneuve;Canada;@jacquesvilleneuve;1971-04-09;5;0;0;1
Kimi;Raikkonen;Finlandia;@kimimatiasraikkonen;1979-10-17;12;0;0;1
Jenson;Button;Reino Unido;@jensonbutton;1980-01-19;12;0;0;1
Nico;Rosberg;Alemania ;@nicorosberg;1985-06-27;1;0;0;1
;;;;;;;;
